Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot
John Rambo,Tamil,7,1 h 26 min,2008.0,18+,"In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit."
American Pie,English,7,1 h 35 min,1999.0,18+,"You'll never look at warm apple pie the same way again! American Pie takes a hysterical look at the goal of four ""unlucky in love"" high school friends who make the ultimate pact: lose their virginity by prom night. Follow the raging hormones of four teenage boys and their girls as they gear up for the most important night of their lives.  Sit back and enjoy a piece of America's #1 comedy hit!"
Bombshell,English,6.8,1 h 48 min,2019.0,18+,"The provocative real story of three smart, ambitious, strong women who anchored one of America's top news networks-and risked everything to stand up to the man who made them."
Love Birds,Tamil,5.1,2 h 40 min,1996.0,All,"After accidentally meeting, Mridula (Nagma) and Arun (Prabhu Deva) fall in love. However, a few months into their relationship, Arun and Mridhula meet with an accident and he passes away. A devastated Mridula meets a person who looks exactly like her Arun. What happens next is the rest of the movie."
Hippi,Telugu,5,2 h 20 min,2019.0,18+,Hippi is about the live-in relationship between an energetic youngster and a confident girl.
Ayyaa,Tamil,5.7,2 h 39 min,2005.0,All,"Ayyaa Is A Super Hit Tamil Action Movie, Directed By Hari, Starring Sarath Kumar And Nayanthara In The Lead Roles. Local MLA Ayya Gains An Opponent In Karuppusamy, The Son Of A Corrupt MLA Whom He Killed In The Past. Thirsty For Revenge, Karuppusamy Tries To Create Different Problems For Ayya."
Gandhi Fer Aa Gea,Punjabi,4.9,2 h 13 mins,2020.0,13+,"Gandhi returns home from a ten year long sentence in jail, only to realize that his village is plagued with gang wars, drug dealers, casteism, poverty and dirty politics. He makes it his personal mission to save the village, but will he be able to save his family alongside it? Or will they, including his beloved sister Balli, get sidelined?"
Premada Vayasu,Kannada,6,1 h 56 min,1997.0,NR,"Premada Vayasu is a 1997 Indian Kannada film, directed by Shiv Kumar and produced by J Govindrajulu. The film stars Lekhpandey, Padmaja, T Prabhakar Reddy, Rukmini, J Babukhan in lead roles. The film had musical score by Nagesh Kumar."
Tum Se Achcha Kaun Hai,Hindi,4.5,2 h 21 min,2002.0,All,"The daughter of a rich tycoon helps Arjun become a singing star. But she falls in love with him, unaware that he is already in love with another girl."
Swamy,Kannada, 6,2 h 34 min,2005.0,All,"Swamy is a 2005 Indian Kannada romantic action film directed and co-written by M. S. Ramesh and produced by Bharathi Basavaraju. The main cast includes Darshan, Gayatri Jayaraman and Avinash besides Jai Jagadish and Rangayana Raghu in other pivotal roles. The film was released on 30 September 2005 across Karnataka cinema halls and received a mixed response from critics and audiences."
Ekkees Tareekh Shubh Muhurat,Hindi,5.7,1 h 33 min,2018.0,All,"A 55-year-old man named Pandit Girdhari Laal Sharma wants to escape his family legacy of becoming a priest and become a storyteller instead. His dream comes true in an unexpected way, when he is jailed and he finds an audience amongst the prisoners."
Sealers: One Last Hunt,English,7.7,56min,2020.0,13+,Norwegian seal hunters get a last chance to go on a prohibited hunting practice. Watch the team brave the icy waters to catch the seals and see what made their hunting tradition so controversial.
Project Almanac,English,6.4,1 h 46 min,2015.0,13+,"When five teens discover a machine that can send them back in time, the possibilities seem endless. But by changing the past, they have threatened the future of our world. Can they undo the damage they have unleashed before it’s too late?"
Ghost Stories,English,6.4,1 h 33 min,2018.0,18+,Skeptical professor Phillip Goodman embarks on a trip to the terrifying after being given a file with details of three unexplained cases of apparitions.
Jaani Dushman: Ek Anokhi Kahani,Hindi,2.8,2 h 32 min,2002.0,13+,A shape-shifting snake exacts vengeance on a group of friends for a crime they did not even commit.
Akashadoothu,Malayalam,7.4,2 h 13 min,1993.0,All,The film tells the tale of a widow suffering from leukemia.
Mera Pind: My Home,Punjabi,6.6,2 h 44 mins,2008.0,All,"An NRI moves to his native village to spread the message of empowerment among the youth. Under his support, Himmat, a young man leads the youth to contribute to the village's development."
300: Rise of an Empire,Tamil,6.2,1 h 42 min,2014.0,18+,"This new chapter of the epic ""300"" saga takes the action to the sea, where Greek general Themistokles battles invading Persian forces led by Xerxes and the naval commander Artemisia."
